mojo_title,criticscore,criticcount,audiencescore,audiencecount
Wonder Park,26,31,7.5,470
Five Feet Apart,45,22,5.6,37
Ma,53,27,7.8,115
Gemini Man,Link error,Link error,Link error,Link error
Isn't It Romantic,38,49,5.3,229
Green Book,80,56,6.1,831
What Men Want,69,52,8.0,548
Pet Sematary,49,29,3.5,49
The Curse of la Llorona,38,12,6.6,61
Bumblebee,41,28,4.6,109
Midway,66,39,7.0,532
A Beautiful Day in the Neighborhood,47,28,6.1,188
Escape Room,80,50,7.2,179
Dora and the Lost City of Gold,48,26,6.1,169
Abominable,63,23,5.0,81
Terminator: Dark Fate,31,6,6.2,18
X-Men: Dark Phoenix,54,51,3.9,875
Mary Poppins Returns,43,52,5.0,712
Angel Has Fallen,61,33,6.4,164
Zombieland: Double Tap,45,33,6.1,125
A Madea Family Funeral,55,38,6.5,303
Annabelle Comes Home,55,45,6.2,211
Spider-Man: Into the Spider-Verse,38,51,4.3,358
Good Boys,87,50,8.8,1630
Alita: Battle Angel,60,44,6.1,148
Rocketman,53,49,8.6,2055
Downton Abbey,69,49,7.4,408
The Addams Family,64,42,6.8,80
Hustlers,57,19,7.2,48
The LEGO Movie 2: The Second Part,79,44,6.1,259
Ford v Ferrari,65,51,6.7,240
The Upside,81,47,8.3,586
Godzilla: King of the Monsters,46,40,6.0,93
Glass,48,46,7.2,861
Maleficent: Mistress of Evil,43,53,6.6,556
Dumbo,43,40,6.3,213
Knives Out,51,55,5.8,230
Aquaman,82,52,7.6,903
Shazam!,55,50,6.9,1338
Once Upon a Time... In Hollywood,71,53,7.6,1267
How to Train Your Dragon: The Hidden World,55,26,6.2,98
John Wick: Chapter 3 - Parabellum,71,42,8.0,437
Fast & Furious Presents: Hobbs & Shaw,73,50,7.7,1051
Jumanji: The Next Level,81,56,6.4,946
It Chapter Two,58,37,6.4,287
Joker,58,52,6.5,796
Aladdin,59,60,9.0,6897
Spider-Man: Far from Home,86,25,8.7,154
Star Wars: Episode IX - The Rise of Skywalker,69,55,7.5,1354
Captain Marvel,53,61,4.6,5194
Frozen II,64,56,3.1,6034
Toy Story 4,64,47,6.9,497
The Lion King,84,57,7.9,746
Avengers: Endgame,88,30,8.8,805
Tosca's Kiss,78,57,7.8,4920
To Die Is Hard,91,19,7.9,19
Bad Lucky Goat,78,20,8.2,66
30 Years of Garbage: The Garbage Pail Kids Story,Link error,Link error,Link error,Link error
Midget Zombie Takeover,tbd,4,No score yet,N/A
The Legend of Hallowaiian,Link error,Link error,Link error,Link error
Under the Turban,tbd,4,6.5,4
